track,track_id,artist,album,release_date,total_tracks,award
Hey Ma,0Uhnzk5zI46IRlQ04LNOtc,Cam’ron,Come Home With Me,2002-01-01,15,1
Wanted,0p1BcEcYVO3uk4KDf3gzkY,Hunter Hayes,Hunter Hayes (Encore),2011,17,5
Gorgeous,23SZWX2IaDnxmhFsSLvkG2,Kanye West,My Beautiful Dark Twisted Fantasy,2010-01-01,13,0
Do I Make You Wanna,3I7krC8kr0gFR7P6vInR1I,Billy Currington,Summer Forever,2015-06-02,12,1
Freaky Friday (feat. Chris Brown),10Igtw8bSDyyFs7KIsKngZ,Lil Dicky,Freaky Friday (feat. Chris Brown),2018-03-15,1,2
Gucci Flip Flops (feat. Lil Yachty),3hv6ndi7uFT9L9wrhQCsqY,Bhad Bhabie,15,2018-09-18,15,0
Let You Down,52okn5MNA47tk87PeZJLEL,NF,Perception,2017-10-06,16,3
No Effort,6iF5JgF1GNUQwlnsgnMzUu,Tee Grizzley,My Moment,2017-04-07,13,0
Need You Now,11EX5yhxr9Ihl3IN1asrfK,Lady Antebellum,Need You Now,2010-01-01,11,9
FRIENDS,08bNPGLD8AhKpnnERrAc6G,Marshmello,FRIENDS,2018-02-09,1,1
Play No Games,3rsOs39rDAYxIOrDTHAgR9,Big Sean,Dark Sky Paradise,2015-02-24,12,1
Redeemed,7zuwaenG5AF0vG7o7kMduX,Big Daddy Weave,Love Come To Life,2012-04-17,12,1
That Don't Sound Like You,2l1fWY1albInvAG9t8WP2p,Lee Brice,I Don't Dance (Deluxe Edition),2014-09-09,16,1
Honky Tonk Badonkadonk,1VdHooAMVaGXPSty8pifv9,Trace Adkins,Dangerous Man,2006-01-01,13,2
Ladies Love Country Boys,13Oda4GsHXzRAfquxWkrzA,Trace Adkins,Dangerous Man,2006-01-01,13,1
Just Fishin',1ZxNwqYsJA41CKf2YEhmIK,Trace Adkins,Proud To Be Here (Deluxe Edition),2011-01-01,14,0
FAKE LOVE,3aW0ds4A4tSQDIp75FqWTo,BTS,Love Yourself 轉 'Tear',2018-05-18,11,0
XO,7cpCU3Denug5NGZsSpQl8v,John Mayer,XO,2014-05-27,1,0
Zombie,1vNoA9F5ASnlBISFekDmg3,Bad Wolves,Zombie,2018-01-19,1,1
Like I Can,2TeLIzFBe3hxkPR5FIQZut,Sam Smith,In The Lonely Hour,2014-01-01,10,1
Lay Me Down,64GRDrL1efgXclrhVCeuA0,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),2015-11-06,23,3
Pray,59ljpSFcgtfWJKS3vqG27R,Sam Smith,The Thrill Of It All (Special Edition),2017-11-03,14,0
Latch - Acoustic,5vUNRJsvEOUsz4sbKkJpFr,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),2015-11-06,23,1
Too Good At Goodbyes,3VlbOrM6nYPprVvzBZllE5,Sam Smith,The Thrill Of It All (Special Edition),2017-11-03,14,4
Too Much To Ask,39jXnbACjiaiTwwhsr5sY5,Niall Horan,Flicker (Deluxe),2017-10-20,13,0
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,?,2018-03-16,18,1
Slow Hands,2cOUlop2ZakjOKe4WinesN,Niall Horan,Flicker (Deluxe),2017-10-20,13,3
Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt,Sam Smith,In The Lonely Hour,2014-01-01,10,8
Make It To Me,2uCMaUojwuqr8CRGsLoPa6,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),2015-11-06,23,0
Mercy,2VIPU72L6tIR4w8J8ap6Kp,Brett Young,Brett Young,2017-02-10,12,1
The Man I Want to Be,5zMRkxgFscsPItPsMy4ItS,Chris Young,The Man I Want To Be,2009-08-27,10,1
Losing Sleep,6waqLPcT6ruMhmd36OhmFO,Chris Young,Losing Sleep,2017-10-20,10,1
Lose My Mind,1qC0pi9ZH47XDjvaNbg8ch,Brett Eldredge,Illinois,2015-09-11,12,1
Let Me See Ya Girl,3y1t2sEahs8idFz2tiYNPO,Cole Swindell,Cole Swindell,2014-02-18,12,1
Drip (feat. Migos),2qcG0nZ6S3zZV0UrkY5nFo,Cardi B,Invasion of Privacy,2018-04-06,13,0
All The Pretty Girls,0QQIhT6PtJ5glyn4HKNKQ6,Kaleo,A/B,2016-06-10,10,0
Ring (feat. Kehlani),5DfWF0jqMgZDCiu9zJENTA,Cardi B,Invasion of Privacy,2018-04-06,13,0
All On Me,2mfahQ0EaaZWq4cFNg6A1o,Devin Dawson,Dark Horse,2018-01-19,12,1
Beautiful (feat. Camila Cabello),4VUwkH455At9kENOfzTqmF,Bazzi,Beautiful (feat. Camila Cabello),2018-08-02,1,0
Love Scars,0AICBlLzFCTpUqmAbtzB2z,Trippie Redd,A Love Letter To You,2017-05-14,12,1
bellyache,51NFxnQvaosfDDutk0tams,Billie Eilish,Bellyache,2017-02-24,1,0
Sauce It Up,1uL78kFWxhz3umTMWJu8n5,Lil Uzi Vert,Luv Is Rage 2,2017-08-25,16,1
Anti,3BVC9lRwjgKrWwDxgFAKA8,SOB X RBE,SOB X RBE,2017-01-23,12,0
Tomen Nota,2h3Wy9FcPrp3q8QRvRP6zj,Adriel Favela,Tomen Nota,2015-10-02,11,2
Genie,2ulXW6DPrhTDt7ZqqYDdhu,YoungBoy Never Broke Again,Genie,2018-06-08,1,0
A Thousand Years,6lanRgr6wXibZr8KgzXxBl,Christina Perri,A Thousand Years,2011-10-18,1,7
Mean To Me,5FVuERsYqtKKAaWe62NBnv,Brett Eldredge,Bring You Back,2013-08-06,13,1
