track,track_id,artist,album,release_date,total_tracks,award
Suffocate - Superclean,3nJjIYchBNkYm7B8XfJf5N,J. Holiday,Back Of My Lac',2007-01-01,14,0
Smile,4aR9bPMAOFySBuQSbVWF3d,Lily Allen,"Alright, Still",2006-05-08,13,0
Viva La Vida,1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida Or Death And All His Friends,2008-05-26,10,3
Bed,6TlRNJaezOdzdECnQeRuMM,J. Holiday,Back Of My Lac',2007-01-01,14,0
Love Song,4E6cwWJWZw2zWf7VFbH7wf,Sara Bareilles,Little Voice,2007-07-03,12,0
Sweetest Girl (Dollar Bill),4liGjmhCupa7RP9JaQELYx,Wyclef Jean,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",2007-08-14,1,0
If I Were a Boy,26NX1wPt1TRCH536yocd6i,Beyoncé,I AM...SASHA FIERCE,2008-11-14,16,0
Brown Eyed Girl,3yrSvpt2l1xhsV9Em88Pul,Van Morrison,Blowin' Your Mind!,1967-09,8,1
Crazy Train - Remastered,2b9lp5A6CqSzwOrBfAFhof,Ozzy Osbourne,Blizzard of Ozz (Expanded Edition),1980-09-20,12,2
"Me, Myself and I",6XsT5UGfpaFeHQf5LRIy4W,Beyoncé,Dangerously In Love,2003-06-24,15,0
Burn - Confession Special Edition Version,7z3N2W7Xz1t2G2sAO8wFVH,Usher,Confessions (Special Edition),2004-03-19,21,1
Amber,51UtgWS4z1eMPuLQOzPtNH,311,Greatest Hits '93 - '03,2004-06-08,17,0
"The Good, The Bad and The Ugly",5c3SBfvWYFtf5FQiNkg6FV,Hugo Montenegro,"Music From ""A Fistful Of Dollars"", ""For A Few Dollars More"", ""The Good, The Bad And The Ugly""",1995-05-23,11,0
Unwritten,1D1nixOVWOxvNfWi0UD7VX,Natasha Bedingfield,Unwritten,2004-08-30,13,0
In Those Jeans,5ojJNnX5ND2gMGojPd3NiO,Ginuwine,The Senior,2003-04-08,16,0
Because of You,3f3omU8n47Mqyab5nCaGyT,Kelly Clarkson,Breakaway,2004-01-17,12,0
You Shook Me All Night Long,2SiXAy7TuUkycRVbbWDEpo,AC/DC,Back In Black,1980-07-25,10,1
Hero / Heroine,1AnesEZjtNHT7Nr2Y4BuNR,Boys Like Girls,Boys Like Girls,2007-08-31,12,0
Thunder,1MrNveiYvWyKNAMiqn8xS8,Boys Like Girls,Boys Like Girls,2007-08-31,12,0
Shake It,5619Ojc6t9evEEs3B7Drhe,Metro Station,Metro Station,2007-09-18,10,2
Say,6wZI4mdT8JwXgkGURnBQiq,John Mayer,Say,2006-10-13,1,1
I Don't Wanna Be In Love (Dance Floor Anthem),6BLLQndvA0rLbLcIZmuuEJ,Good Charlotte,Good Morning Revival,2008-05-20,14,1
Shawty Is A 10 - (Explicit),4nuMA47XIxcu85zkkDkz1t,The-Dream,Shawty Is A 10,2007-01-01,1,0
Cyclone,27mhCGdAA8gM7b33KIiB3k,Baby Bash,Cyclone,2007-04-05,1,2
Falsetto,2P1e3xpjDhYFqOFeu8IWzS,The-Dream,Lovehate,2007-01-01,12,0
My Wish,6Gfmj0HbpvxTdW0sdlzTDU,Rascal Flatts,Me And My Gang,2006-01-01,14,1
Shake It,5619Ojc6t9evEEs3B7Drhe,Metro Station,Metro Station,2007-09-18,10,0
Pocketful of Sunshine,1uigwk5hNV84zRd5YQQRTk,Natasha Bedingfield,Pocketful Of Sunshine,2008-01-22,13,2
Lolli Lolli (Pop That Body) - Explicit Album Version,4xWMTkwknjh8FzxNrkwLl6,Three 6 Mafia,Last 2 Walk,2008-06-23,22,1
Pocketful of Sunshine,1uigwk5hNV84zRd5YQQRTk,Natasha Bedingfield,Pocketful Of Sunshine,2008-01-22,13,0
"Out Here Grindin' feat. Akon, Lil Boosie, Plies, Ace Hood, Trick Daddy, Rick Ross",61RnPNHdba0aB7Itq2qCut,DJ Khaled,Out Here Grindin,2008-07-08,1,0
Livin' Our Love Song,5NhZkLMccDVhxocmVHDu4G,Jason Michael Carroll,Waitin' In The Country,2007-02-06,11,0
Sweet Child O' Mine,4MhTFsyqIJnjsOweVcU8ug,Guns N' Roses,Appetite For Destruction,1987-01-01,12,1
Mrs. Officer,0EHR9OObFtjlhQB8wSt1m7,Lil Wayne,Tha Carter III,2008-01-01,16,1
Touch My Body,2H1l4JczUDbiWfQtQElB05,Mariah Carey,E=MC²,2008-01-01,14,1
Closer,2XbfY2O2v3xwedUJ0J2kkr,Ne-Yo,Year Of The Gentleman (Bonus Track Edition),2008-01-01,13,1
The Time of My Life,6avyV3xlz2UFeiAUZ0SqyT,David Cook,David Cook,2008-11-14,13,1
When You Were Young,70wYA8oYHoMzhRRkARoMhU,The Killers,Sam's Town,2006-10-02,12,1
The Boss,3n5qF6aprwEIjHWuH5jECM,Rick Ross,Trilla,2008-01-01,15,1
Good Life,1fLdeDTrJWNkwOeFyAVLvF,Kanye West,Graduation,2007-01-01,13,1
Touch My Body,2H1l4JczUDbiWfQtQElB05,Mariah Carey,E=MC²,2008-01-01,14,1
Take A Bow,3goSVuTt3fDYDP6kRnFwuL,Rihanna,Good Girl Gone Bad: Reloaded,2008-06-02,15,1
Grandma Got Run over by a Reindeer,49iHYFjT5yO6WEw6KerX9o,Elmo & Patsy,Grandma Got Run Over By A Reindeer,1984,10,0
Santa Baby,1vZKP9XURuqMp1SpXGnoyb,Eartha Kitt,The Essential Eartha Kitt,2011-03-15,40,0
Get Silly,6ewmZ7vUOjitwsg4yJ6xhX,V.I.C.,Get Silly,2007-12-11,2,0
The Business (featuring Casha),33PowGnnFPgWSGHcGIQX1U,Yung Berg,Look What You Made Me,2008-08-08,15,0
A Milli,6ScJMrlpiLfZUGtWp4QIVt,Lil Wayne,Tha Carter III,2008-01-01,16,1
Lolli Lolli (Pop That Body) - Explicit Album Version,4xWMTkwknjh8FzxNrkwLl6,Three 6 Mafia,Last 2 Walk,2008-06-23,22,0
Honky Tonk Badonkadonk,1VdHooAMVaGXPSty8pifv9,Trace Adkins,Dangerous Man,2006-01-01,13,1
Wait for You,0U969xYNlAyfzi8P1TaO7u,Elliott Yamin,Elliott Yamin,2007-03-23,13,1
Forever,7tAXHZdp9UpcYrHn7MZqfo,Chris Brown,Forever,2007-11-02,1,0
Never Too Late,3HE50TVRquwXe9yv2HFoNL,Three Days Grace,One-X,2006-06-25,12,0
Love in This Club,5j0McHPthKpOXRr3fBq8M0,Usher,Here I Stand,2008-05-23,18,1
No Air (feat. Chris Brown),519tXYJVcrpEMqV2BMbh6E,Jordin Sparks,Jordin Sparks,2007-11-19,13,1
Until The End Of Time,2wZTnl0pPFr3HBcyXfOaVJ,Justin Timberlake,FutureSex/LoveSounds Deluxe Edition,2006-09-13,15,0
With You,1j3H54xdahpAkNI0q6S89q,Chris Brown,Exclusive,2007-11-01,16,2
Tattoo,3Ui2jdyxbZQrZohfM0NOgG,Jordin Sparks,Jordin Sparks,2007-10-29,16,0
What You Know,0CAJdthKDdRjB2h8YOguN6,T.I.,King,2006-03-27,17,0
Superstar (feat. Matthew Santos),7dltD9eEX7X1zk8JJ9BS0e,Lupe Fiasco,Lupe Fiasco's The Cool,2007-01-01,19,1
Bust It Baby Part 2 (feat. Ne-Yo ),0exb0K7vsjf5bXWLJJhAuF,Plies,Definition Of Real,2008-06-10,15,0
Damaged,4yHFxB8kzzeuNvoouR8N0N,Danity Kane,Welcome To The Dollhouse,2008-03-17,16,1
Unwell - Remastered Version,0PXWpNBYg52gABrn1qL1bD,Matchbox Twenty,Exile On Mainstream,2007-10-02,17,0
New Soul,476JcJ3TpAuCOlGdCmomGm,Yael Naim,Yael Naïm,2007-10-22,13,0
Sorry,0EbnUc05YEKhZRKgbrZWpq,Buckcherry,15,2006-04-11,11,1
Hung Up,3850dYVgOFIXJh5U4BFEWH,Madonna,Confessions On A Dance Floor (12 Reg. Tracks),2005-11-11,12,1
Dani California,10Nmj3JCNoMeBQ87uw5j8k,Red Hot Chili Peppers,Stadium Arcadium,2006-05-09,29,2
Snow (Hey Oh),2aibwv5hGXSgw7Yru8IYTO,Red Hot Chili Peppers,Stadium Arcadium,2006-05-09,29,1
Tell Me Baby,0itNMuBHye9fu392b4e9oa,Red Hot Chili Peppers,Stadium Arcadium,2006-05-09,29,0
Stricken,6RJdYpFQwLyNfDc5FbjkgV,Disturbed,Ten Thousand Fists (Standard Edition),2005-09-19,14,0
Wake Me Up When September Ends,3ZffCQKLFLUvYM59XKLbVm,Green Day,American Idiot,2004-09-21,9,1
Helena (So Long & Goodnight),5dTHtzHFPyi8TlTtzoz1J9,My Chemical Romance,Three Cheers For Sweet Revenge,2004-06-08,13,0
Holiday/Boulevard Of Broken Dreams,0MsrWnxQZxPAcov7c74sSo,Green Day,American Idiot,2004-09-21,9,1
Pop Bottles - Main,1kEp3Po9RUPm11N5ITOUWx,Birdman,5 * Stunna,2007-01-01,22,0
"Jesus, Take the Wheel",3lec3CzDPAxsZokPph5w87,Carrie Underwood,Some Hearts,2005-11-14,14,1
Crying Out For Me - Radio Edit,4FyKC8jzFgZ1CoJ9xMto2O,Mario,Crying Out For Me (Radio Edit),2007-10-02,1,0
Cyclone,27mhCGdAA8gM7b33KIiB3k,Baby Bash,Cyclone,2007-04-05,1,1
Like You'll Never See Me Again,0NWJPV3utX0J4tfwzyotNB,Alicia Keys,As I Am,2007-11-09,14,1
Home,2nXWKf0GXbFby4posGqEht,Daughtry,Daughtry,2006-11-21,12,0
Bleeding Love,7wZUrN8oemZfsEd1CGkbXE,Leona Lewis,Spirit,2007,13,1
She Thinks My Tractor's Sexy,3QV7NYkrmV0Q0IHdFJw9hO,Kenny Chesney,Everywhere We Go,1999-02-26,11,0
You Had Me from Hello,3NJn7p1nrI3R8alivEMPwB,Kenny Chesney,Everywhere We Go,1999-02-26,11,0
Angelito - Remastered 2016,6ywkJT7h0rIj8S1QKqAIDE,Don Omar,King Of Kings 10th Anniversary (Remastered),2016-11-11,19,0
All I Want To Do,1mJ05BN0So26a14iib85aI,Sugarland,Love On The Inside,2008-01-01,12,0
Bodies,7CpbhqKUedOIrcvc94p60Y,Drowning Pool,Sinner,2001-01-01,11,0
He Said She Said,0jTTjg6q4jsd2RhuHwTvLj,Ashley Tisdale,Headstrong,2007,13,0
Hips Don't Lie,3ZFTkvIE7kyPt6Nu3PEa7V,Shakira,Oral Fixation Vol. 2,2006-03-27,13,2
Sexy Can I feat. Yung Berg,0DdpxWfVvUGgkJv5536tiF,Ray J,All I Feel,2008-04-08,13,0
Sexy Can I feat. Yung Berg,0DdpxWfVvUGgkJv5536tiF,Ray J,All I Feel,2008-04-08,13,1
Through The Fire And Flames,6nnacTL5on2aVsRhVDNUSo,DragonForce,Inhuman Rampage,2006-05-23,8,0
Clumsy,50xeLNGKmskmYUSINhqvfa,Fergie,The Dutchess,2006-01-01,13,1
Apologize,6ucR4KfvsBFWCMVFDvyKKl,Timbaland,Shock Value,2007-01-01,17,1
Our Song,15DeqWWQB4dcEWzJg15VrN,Taylor Swift,Taylor Swift,2006-10-24,15,0
Apologize,6ucR4KfvsBFWCMVFDvyKKl,Timbaland,Shock Value,2007-01-01,17,3
(You Want To) Make A Memory - Pop Album Version,09ln4QumFqjIkfCFiW9aRk,Bon Jovi,Lost Highway,2007-01-01,12,0
Eye of the Tiger,2KH16WveTQWT6KOG9Rg6e2,Original Motion Picture Soundtrack,Rocky IV,1985,11,1
Summer Love,1MBM7CyZbwJpVbbZJnHHRg,Justin Timberlake,FutureSex/LoveSounds,2006-09-12,12,1
Here (In Your Arms),4z1gmF4S1YsTj1pxiU47Qx,Hellogoodbye,Zombies! Aliens! Vampires! Dinosaurs! And More!,2008-01-01,25,1
Into the Night,5Hv1QAbRWrUSUHaT0CmnMS,Santana,Ultimate Santana,2007-09-25,18,1
Piece of Me,2EvwLVrnYbCZEG6Kx5DCRy,Britney Spears,Blackout,2007-10-25,15,1
Crazy Bitch,5XfQTbialQHn9PhDb0p85H,Buckcherry,15,2006-04-11,11,2
"2 Step (feat. T-Pain, Jim Jones & E-40)",34vVztCAeKpPtzYfGHQjiV,Unk,Beat'n Down Yo Block (Deluxe),2007-09-25,21,0
No Air (feat. Chris Brown),519tXYJVcrpEMqV2BMbh6E,Jordin Sparks,Jordin Sparks,2007-11-19,13,1
Take You There,6AdLyvisRKHLAwARaZMGr6,Sean Kingston,Sean Kingston,2008-03-11,14,1
Love Like This,49ppqF73rOz5Nyt1paRxIF,Natasha Bedingfield,Pocketful Of Sunshine,2008-01-22,13,1
Get Buck In Here,5zN3VFmNhdOKxRElarvVq5,DJ Felli Fel,Get Buck In Here,2007-01-01,1,0
Save A Horse (Ride A Cowboy),7ngLY64yLCFIRaybpIYKJz,Big & Rich,Greatest Hits,2009-09-25,15,1
How Far We've Come,0gbLfFlEyVHiKzlZIb0gce,Matchbox Twenty,Exile On Mainstream,2007-10-02,17,1
On The Hotline,3bsoEOP4NHEoeVbAAYdbaU,Pretty Ricky,Late Night Special (94603/explicit),2007-01-22,11,1
Crazy Bitch,5XfQTbialQHn9PhDb0p85H,Buckcherry,15,2006-04-11,11,1
Shawty (feat. T Pain),0mYoKqA23wUUj7BTEgNzjg,Plies,The Real Testament,2007-08-06,15,1
Girl,7tAXjikQCHflZLeGPTUcLQ,Paul Wall,The Peoples Champ,2005-07-19,18,0
Fidelity,6GskIhdM6TN6EkPgeSjVfW,Regina Spektor,Begin To Hope (Special Edition),2006-06-13,17,0
Leave The Pieces,6kYMu0guz9F1BMoTh7w9iD,The Wreckers,Leave The Pieces,2006-03-28,1,0
Bartender,5kxddRG1RZaZROadk7iC4D,T-Pain,Epiphany,2007-06-05,17,1
Lip Gloss,1Y4ZdPOOgCUhBcKZOrUFiS,Lil Mama,Lip Gloss,2007-03-06,1,0
Sweetest Girl (Dollar Bill),4liGjmhCupa7RP9JaQELYx,Wyclef Jean,"Sweetest Girl (Dollar Bill) (feat. Akon, Lil' Wayne & Niia)",2007-08-14,1,1
When You're Gone,4kxND2rbPDrdb7Sgoo1Fbh,Avril Lavigne,The Best Damn Thing,2007-04-13,12,0
Over You,7mXmxXLAnsvXKt4Q37KoMI,Daughtry,Daughtry,2006-11-21,12,0
Like a Boy,358bOvBiZCS9fRzNYosw6c,Ciara,The Evolution,2006,20,0
Gimme More,6ic8OlLUNEATToEFU3xmaH,Britney Spears,Blackout,2007-10-25,15,1
Tattoo,3Ui2jdyxbZQrZohfM0NOgG,Jordin Sparks,Jordin Sparks,2007-10-29,16,1
Unwritten,1D1nixOVWOxvNfWi0UD7VX,Natasha Bedingfield,Unwritten,2004-08-30,13,2
Who Knew,7FpoD2ZlcBSj05rEHSZoiB,P!nk,I'm Not Dead,2006-03-31,13,1
LoveStoned / I Think She Knows Interlude,62cYasTwBy6Y7pstdSTmHu,Justin Timberlake,FutureSex/LoveSounds Deluxe Edition,2006-09-13,15,0
Stupid Girls,1lsMTPcfQRj0NcIiDjWoNM,P!nk,I'm Not Dead,2006-03-31,13,0
A Bay Bay,6MnFB3qurhmGs1xdjrz5Bg,Hurricane Chris,A Bay Bay,2007-06-19,1,1
Whine Up - English Version,7L1zJMkc9Ho7Ox0uSFC9TL,Kat Deluna,Whine Up (English Version),2007-05-01,1,0
1985,5oQcOu1omDykbIPSdSQQNJ,Bowling For Soup,A Hangover You Don't Deserve,2004,17,1
Behind These Hazel Eyes,0AKAxdNkwq9ZxRdW1DN9zW,Kelly Clarkson,Breakaway,2004-01-17,12,1
Girlfriend,5HbCnVLXRyZVxnreOPgJCK,Avril Lavigne,The Best Damn Thing,2007-04-16,12,2
Home,2nXWKf0GXbFby4posGqEht,Daughtry,Daughtry,2006-11-21,12,1
Keep Holding On,04veGRiEXe2O7UQy71Bkfm,Avril Lavigne,The Best Damn Thing,2007-04-13,12,1
"White & Nerdy (Parody of ""Ridin'"" by Chamillionaire feat. Krayzie Bone)",60R2v9lheAu3lwZwAFxMZK,"""Weird Al"" Yankovic",Straight Outta Lynwood,2006,12,1
Because of You,3f3omU8n47Mqyab5nCaGyT,Kelly Clarkson,Breakaway,2004-01-17,12,1
"Pop, Lock & Drop It",6vs9xToxh23nXF8sucqnfP,Huey,"Pop, Lock & Drop It (Main Version)",2006-09-26,1,1
The Great Escape,6GIrIt2M39wEGwjCQjGChX,Boys Like Girls,Boys Like Girls,2007-08-31,12,1
I Wanna Love You,4xAk8Lw82G3YoVSOdVAsBx,Akon,Konvicted,2006,15,1
Smack That,2kQuhkFX7uSVepCD3h29g5,Akon,Konvicted,2006-01-01,12,2
Bubbly,0rFOs9paloAvEtzwDX1Kmc,Colbie Caillat,Coco,2007-01-01,12,1
Unfaithful,13xxBnXOuiBxVxJI458B0i,Rihanna,A Girl Like Me,2006-04-10,13,1
Make Me Better,0YkJU6TjjwzsVXUPRIO0DB,Fabolous,From Nothin' To Somethin' (Bonus Track Version),2007-01-01,16,1
Party Like A Rock Star,5kGCh49aqeRMkEOhQ9mcrW,Shop Boyz,Party Like A Rockstar,2007-01-01,1,1
Amazed,6iNcyWk5iUEY7P9zeTc5hm,Lonestar,Playlist: The Very Best Of Lonestar,1995,14,0
Alcohol,5wKaxpvqXq95IaoAVPLgoi,Brad Paisley,Time Well Wasted,2005-08-15,21,0
Bump n' Grind,0DBIL8arX0Zo6eAuxNIpik,R. Kelly,12 Play,1993-11-07,12,0
Redneck Woman,5pQtfVIaQvINzl0XIGKNrC,Gretchen Wilson,Greatest Hits,2010-01-19,11,1
Pain,5PZ2cqh9Yem2g6cTSOLllz,Three Days Grace,One-X,2006-06-25,12,0
Chop Suey!,2DlHlPMa4M17kufBvI2lEN,System Of A Down,Toxicity,2001,15,0
Beautiful Girls,1hGy2eLcmC8eKx7qr1tOqx,Sean Kingston,Beautiful Girls,2007-07-23,1,2
Yo (Excuse Me Miss),1zpu1PZ8ecmcX525Z3X8cl,Chris Brown,Chris Brown,2005-11-29,16,1
A Bay Bay,6MnFB3qurhmGs1xdjrz5Bg,Hurricane Chris,A Bay Bay,2007-06-19,1,2
"Pop, Lock & Drop It",6vs9xToxh23nXF8sucqnfP,Huey,"Pop, Lock & Drop It (Main Version)",2006-09-26,1,2
Crank That (Soulja Boy),66TRwr5uJwPt15mfFkzhbi,Soulja Boy,souljaboytellem.com,2007-01-01,14,3
Lonely - Old Version,4v7DCN09hgXkKazefkznDQ,Akon,Trouble Deluxe Edition,2005-01-01,23,1
Bubbly,0rFOs9paloAvEtzwDX1Kmc,Colbie Caillat,Coco,2007-01-01,12,0
Be Without You - Kendu Mix,2YegxR5As7BeQuVp2U6pek,Mary J. Blige,The Breakthrough,2005-01-01,17,2
Lips Of An Angel,40LQiUUUKXVGyNs09lHVjW,Hinder,Extreme Behavior,2005-01-01,10,3
Drop It Like It's Hot,2NBQmPrOEEjA8VbeWOQGxO,Snoop Dogg,R&G (Rhythm & Gangsta): The Masterpiece,2004-01-01,20,2
Big Girls Don't Cry (Personal),3Q4WeJmzxuDpzMu9QjQqbM,Fergie,The Dutchess,2006-01-01,13,1
I Tried,2elA6JLRaQ6iB7hxiuTKN4,Bone Thugs-N-Harmony,Strength & Loyalty,2007,14,1
Let It Go,2RqZFOLOnzVmHUX7ZMcaES,Keyshia Cole,Just Like You,2007-01-01,15,1
Beautiful Girls,1hGy2eLcmC8eKx7qr1tOqx,Sean Kingston,Beautiful Girls,2007-07-23,1,1
Boston,2WZyfujzMweFLnozyUJBkW,Augustana,All The Stars and Boulevards,2005,11,1
Nothing Left To Lose,5oRp0GTiNQ2OjCUssfCTsk,Mat Kearney,Nothing Left To Lose,2006,14,0
Me Love,44M8gY48QHhvc6vn5be10N,Sean Kingston,Sean Kingston,2008-03-11,14,0
"This Ain't A Scene, It's An Arms Race",1oagRT7LfpVlNJN6FSZDGp,Fall Out Boy,Infinity On High (Deluxe Edition),2007-01-01,19,1
Party Like A Rock Star,5kGCh49aqeRMkEOhQ9mcrW,Shop Boyz,Party Like A Rockstar,2007-01-01,1,3
Why You Wanna,1g0oI97rPdYuWDIpkbtQdv,T.I.,King,2006-03-27,17,0
Top Back,4LE8fR53Pjd6xmHBUlxArg,T.I.,King,2006-03-27,17,0
1st Time (feat. Marques Houston),5ehwXxbiFNYwlmntoKom7h,Yung Joc,New Joc City (Explicit Content U.S. Version),2006-06-06,16,0
Bless The Broken Road,4YjjNHtEsTX6Af4mCTupT5,Rascal Flatts,Feels Like Today,2004-01-01,12,1
Shoulder Lean (feat. T.I.),2OqYarizUUGzSSNHPrDEii,Young Dro,Best Thang Smokin' (Explicit Version),2006-06-27,16,2
Never Again,24y3tSyLdRbpVsKhQrR2oj,Kelly Clarkson,My December,2007,17,0
Doe Boy Fresh,4ioTeLwRRJeWsz8535nrjD,Three 6 Mafia,Doe Boy Fresh (Explicit),2007-01-09,1,0
Girlfriend,5HbCnVLXRyZVxnreOPgJCK,Avril Lavigne,The Best Damn Thing,2007-04-16,12,1
Back In Black,08mG3Y1vljYA6bvDt4Wqkj,AC/DC,Back In Black,1980-07-25,10,2
Irreplaceable,6RX5iL93VZ5fKmyvNXvF1r,Beyoncé,B'Day Deluxe Edition,2007-05-29,23,2
Summertime,30ZGbfPsjDNCgL21Qzciuj,Kenny Chesney,Greatest Hits II,2009-05-19,17,0
Buy U a Drank (Shawty Snappin'),2aIdVb8v9KTpEZnftkz2mD,T-Pain,Epiphany,2007-06-05,17,3
A Public Affair,1gFMesXcHHtIUhwzxYFOtz,Jessica Simpson,A Public Affair,2006,14,0
100 Years,0B5KeB25moPkcQUnbDvj3t,Five For Fighting,The Battle For Everything,2004-02-03,12,1
Sexy Love,10aWGOqSDBqvNzJ9NeKDbK,Ne-Yo,In My Own Words,2006-01-01,13,1
Walk It Out,6lSylu4qTmLBGQB1zp5oCi,Unk,Beat'n Down Yo Block,2006-10-03,19,1
U + Ur Hand,6cSQSGa2tFufkTdlKs2TKN,P!nk,I'm Not Dead,2006-03-31,13,1
Buy U a Drank (Shawty Snappin'),2aIdVb8v9KTpEZnftkz2mD,T-Pain,Epiphany,2007-06-05,17,1
Fergalicious,1D066zixBwqFYqBhKgdPzp,Fergie,The Dutchess,2006-01-01,13,1
Throw Some D's,6SmPPtaMnfxgz5duA6t9Cu,Rich Boy,Rich Boy,2007-01-01,16,1
Glamorous,4KTtYhxFtFL7mBwnjkKfLm,Fergie,The Dutchess,2006-01-01,13,1
Buttons,3BxWKCI06eQ5Od8TY2JBeA,The Pussycat Dolls,PCD,2005-01-01,12,1
London Bridge,7jRoWfRlLnGYEIEn4t4kbq,Fergie,The Dutchess,2006-01-01,13,1
Stickwitu,4NjR63Up0uMkQBlKvlZd1l,The Pussycat Dolls,PCD,2005-01-01,12,1
Life is a Highway,2Fs18NaCDuluPG1DHGw1XG,Rascal Flatts,Me And My Gang,2006-01-01,14,1
So Sick,6brl7bwOHmGFkNw3MBqssT,Ne-Yo,In My Own Words,2006-01-01,13,1
B.Y.O.B.,0EYOdF5FCkgOJJla8DI2Md,System Of A Down,Mezmerize,2005-05-17,11,1
Before He Cheats,0ZUo4YjG4saFnEJhdWp9Bt,Carrie Underwood,Some Hearts,2005-11-14,14,1
Poppin' - Main,3x1Kw9hX5jNYIUrplnnx1O,Chris Brown,Chris Brown,2005-11-29,16,0
What Goes Around.../...Comes Around (Interlude),76D83dghHeE2NFedPFD4tf,Justin Timberlake,FutureSex/LoveSounds,2006-09-12,13,0
Girls Just Wanna Have Fun,0xs0ewnEb6c2DlY7LjOD7t,Various Artists,80s 100 Hits,2010-02-26,100,1
Promise,1pLdjo3lOBbMaoR4ZpybFH,Ciara,The Evolution,2006,20,1
Always Be My Baby,2aBxt229cbLDOvtL7Xbb9x,Mariah Carey,Daydream,1995-09-26,12,1
The Devil Went Down to Georgia,6gRACp2CvsIhc7hyw8CecQ,The Charlie Daniels Band,Million Mile Reflections,1979,9,0
"White & Nerdy (Parody of ""Ridin'"" by Chamillionaire feat. Krayzie Bone)",60R2v9lheAu3lwZwAFxMZK,"""Weird Al"" Yankovic",Straight Outta Lynwood,2006,12,0
What Hurts The Most,4bVuIlGQBMWS7vIhcx8Ae4,Rascal Flatts,Me And My Gang,2006-01-01,14,1
La Tortura,5BSclXJTa9B0iURhUjZo50,Shakira,Fijación Oral Volumen 1,2005-06-06,12,1
Say Goodbye,75KdMdPqZGO3FGNtpByM1p,Chris Brown,Chris Brown,2005-11-29,16,1
We Fly High,5rXkgeY6rpcHcsolCpXZHR,Jim Jones,Hustler's P.o.m.e. (expanded Edition),2006,24,1
Sexual Healing,3VZmChrnVW8JK6ano4gSED,Marvin Gaye,Midnight Love,1982-10-01,9,1
Ice Box,5qhlC4Rzals34zxovrPzKp,Omarion,21,2006-12-26,13,0
Ice Box,5qhlC4Rzals34zxovrPzKp,Omarion,21,2006-12-26,13,0
Differences,0Uyh92tLyb9JawG8lmWCzJ,Ginuwine,The Life,2001-04-03,15,0
Pink Panther Theme,1QPRmX2e3EZWskuOe5QqxM,Christophe Beck,The Pink Panther (Original Motion Picture Soundtrack),2006-01-01,22,0
Good Luck Charm,0rJBJ4K6uNeDg1rGVyi0Tp,Jagged Edge,Jagged Edge,2006-05-09,16,0
Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,AC/DC,Highway to Hell,1979-07-27,10,0
Eye of the Tiger - Instrumental Live,6ZRQSuAQ06U3qoTnpegmYY,Various Artists,Classic Rock Instrumentals Live!,2015-06-18,6,0
Gimme That,7BWXAPR8TxPR3ppVUqvotE,Chris Brown,Chris Brown,2005-11-29,16,0
Must Be Nice,2mp3sLUNQaJ025Lx5f4AAJ,Lyfe Jennings,Lyfe 268-192,2004,15,1
We Fly High,5rXkgeY6rpcHcsolCpXZHR,Jim Jones,Hustler's P.o.m.e. (expanded Edition),2006,24,1
What Goes Around.../...Comes Around (Interlude),76D83dghHeE2NFedPFD4tf,Justin Timberlake,FutureSex/LoveSounds,2006-09-12,13,1
Make It Rain,1Ji8DhJGIQuV9kBiTgcChh,Fat Joe,"Me, Myself & I",2006-11-14,15,1
Fireman - Main,0aq7ohTG6VDYQvsnAYtA5e,Lil Wayne,Tha Carter II,2005-01-01,22,1
Ridin',3kZoay4ANo86ehb6s4RwS9,Chamillionaire,The Sound of Revenge,2005-01-01,16,4
Make It Rain,1Ji8DhJGIQuV9kBiTgcChh,Fat Joe,"Me, Myself & I",2006-11-14,15,0
Must Be Doin' Somethin' Right,57i0MaWyZGlWxEvNUxTMZK,Billy Currington,Best Of,2011-01-01,11,0
Shortie Like Mine,4F55RCGuM477OjznpYGhYz,Bow Wow,Playlist: The Very Best Of Bow Wow,2000,14,0
This Is Why I'm Hot,0AA6zq5ArZ1sSH7VIMi4NK,MiMS,Music Is My Savior,2007-01-01,16,1
"Theme from ""The Dukes of Hazzard"" (Good Ol' Boys)",7xRind9RPsvGHWR0qbGmfE,Original Soundtrack,The Dukes Of Hazzard,1978,14,1
My Love,13X42np3KJr0o2LkK1MG76,Justin Timberlake,FutureSex/LoveSounds,2006-09-12,13,1
Waiting On the World to Change,5imShWWzwqfAJ9gXFpGAQh,John Mayer,Continuum,2006-09-11,12,1
Hurt,6gDXbcILAyBa2skSdbUYq7,Christina Aguilera,Back To Basics,2006-08-14,22,0
U And Dat (feat. T. Pain & Kandi Girl),7g7M96UGiA7OR79H86gV4m,E-40,My Ghetto Report Card,2006-03-14,20,0
Money Maker,2JpUkUR0OsOlUUfm6iS8ic,Ludacris,Release Therapy,2006-01-01,14,0
Promiscuous,3SwlakM6VX47IwG0Wll5ek,Nelly Furtado,The Best of Nelly Furtado (Deluxe),2010-01-01,24,1
Big Poppa,2g8HN35AnVGIk7B8yMucww,The Notorious B.I.G.,Ready To Die The Remaster,1994-09-13,19,0
Me & U,7k6IzwMGpxnRghE7YosnXT,Cassie,Cassie (U.S. Version),2006-08-07,11,1
