track,track_id,artist,album,release_date,total_tracks
Ladies Love Country Boys,13Oda4GsHXzRAfquxWkrzA,Trace Adkins,Dangerous Man,2006-01-01,13
Just Fishin',1ZxNwqYsJA41CKf2YEhmIK,Trace Adkins,Proud To Be Here (Deluxe Edition),2011-01-01,14
FAKE LOVE,3aW0ds4A4tSQDIp75FqWTo,BTS,Love Yourself 轉 'Tear',2018-05-18,11
XO,7cpCU3Denug5NGZsSpQl8v,John Mayer,XO,2014-05-27,1
Zombie,1vNoA9F5ASnlBISFekDmg3,Bad Wolves,Zombie,2018-01-19,1
Like I Can,2TeLIzFBe3hxkPR5FIQZut,Sam Smith,In The Lonely Hour,2014-01-01,10
Lay Me Down,64GRDrL1efgXclrhVCeuA0,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),2015-11-06,23
Pray,59ljpSFcgtfWJKS3vqG27R,Sam Smith,The Thrill Of It All (Special Edition),2017-11-03,14
Latch - Acoustic,5vUNRJsvEOUsz4sbKkJpFr,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),2015-11-06,23
Too Good At Goodbyes,3VlbOrM6nYPprVvzBZllE5,Sam Smith,The Thrill Of It All (Special Edition),2017-11-03,14
Too Much To Ask,39jXnbACjiaiTwwhsr5sY5,Niall Horan,Flicker (Deluxe),2017-10-20,13
Moonlight,0JP9xo3adEtGSdUEISiszL,XXXTENTACION,?,2018-03-16,18
Slow Hands,2cOUlop2ZakjOKe4WinesN,Niall Horan,Flicker (Deluxe),2017-10-20,13
Stay With Me,5Nm9ERjJZ5oyfXZTECKmRt,Sam Smith,In The Lonely Hour,2014-01-01,10
Make It To Me,2uCMaUojwuqr8CRGsLoPa6,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),2015-11-06,23
Mercy,2VIPU72L6tIR4w8J8ap6Kp,Brett Young,Brett Young,2017-02-10,12
The Man I Want to Be,5zMRkxgFscsPItPsMy4ItS,Chris Young,The Man I Want To Be,2009-08-27,10
Losing Sleep,6waqLPcT6ruMhmd36OhmFO,Chris Young,Losing Sleep,2017-10-20,10
Lose My Mind,1qC0pi9ZH47XDjvaNbg8ch,Brett Eldredge,Illinois,2015-09-11,12
Let Me See Ya Girl,3y1t2sEahs8idFz2tiYNPO,Cole Swindell,Cole Swindell,2014-02-18,12
Drip (feat. Migos),2qcG0nZ6S3zZV0UrkY5nFo,Cardi B,Invasion of Privacy,2018-04-06,13
All The Pretty Girls,0QQIhT6PtJ5glyn4HKNKQ6,Kaleo,A/B,2016-06-10,10
Ring (feat. Kehlani),5DfWF0jqMgZDCiu9zJENTA,Cardi B,Invasion of Privacy,2018-04-06,13
All On Me,2mfahQ0EaaZWq4cFNg6A1o,Devin Dawson,Dark Horse,2018-01-19,12
Beautiful (feat. Camila Cabello),4VUwkH455At9kENOfzTqmF,Bazzi,Beautiful (feat. Camila Cabello),2018-08-02,1
Love Scars,0AICBlLzFCTpUqmAbtzB2z,Trippie Redd,A Love Letter To You,2017-05-14,12
bellyache,51NFxnQvaosfDDutk0tams,Billie Eilish,Bellyache,2017-02-24,1
Sauce It Up,1uL78kFWxhz3umTMWJu8n5,Lil Uzi Vert,Luv Is Rage 2,2017-08-25,16
Anti,3BVC9lRwjgKrWwDxgFAKA8,SOB X RBE,SOB X RBE,2017-01-23,12
Tomen Nota,2h3Wy9FcPrp3q8QRvRP6zj,Adriel Favela,Tomen Nota,2015-10-02,11
Genie,2ulXW6DPrhTDt7ZqqYDdhu,YoungBoy Never Broke Again,Genie,2018-06-08,1
A Thousand Years,6lanRgr6wXibZr8KgzXxBl,Christina Perri,A Thousand Years,2011-10-18,1
Mean To Me,5FVuERsYqtKKAaWe62NBnv,Brett Eldredge,Bring You Back,2013-08-06,13
Ahora Vete,5AVnvrrt9kXrm537nGykVw,Yulien Oviedo,Ahora Vete,2017-10-06,1
Outside Today,3sA7HKGzcKTVscdiTCrWpX,YoungBoy Never Broke Again,Until Death Call My Name Reloaded,2018-06-29,20
Tequila,7Il2yWQmsqKgSkLQvHTPUI,Dan + Shay,Tequila,2018-01-10,1
Overdose,3A1BaBGT3HgzuDrV9pgX9v,YoungBoy Never Broke Again,Until Death Call My Name Reloaded,2018-06-29,20
I Do (feat. SZA),1f5PNhkNgUpvDEeZfcIlO1,Cardi B,Invasion of Privacy,2018-04-06,13
S.O.B.,1hWQvA6oGVJ2mAVsZ59AaV,Nathaniel Rateliff & The Night Sweats,Nathaniel Rateliff & The Night Sweats,2015-01-01,11
BILLY,5KhFaq45chTw8RGfWo8T8J,6ix9ine,Day69: Graduation Day,2018-04-10,12
Up Down (feat. Florida Georgia Line),6SkeXwlWEHhjSZPNVSpJae,Morgan Wallen,If I Know Me,2018-04-27,14
No Te Vas - Remix,0UU6IOw7aZcUIu0iW7EfVW,Nacho,No Te Vas (Remix),2018-04-03,1
SUTRA,0lTYnxJdC68v0oXd5xolxY,Sebastian Yatra,MANTRA,2018-05-18,16
Gucci Gang,43ZyHQITOjhciSUUNPVRHc,Lil Pump,Lil Pump,2017-10-06,15
Bipolar,4WzsycqZkpkS48H9AAAGux,Chris Jeday,Bipolar,2018-03-07,1
Bad Liar,2fZQIJew3nkNe99s2PKzul,Selena Gomez,Bad Liar,2017-05-18,1
Chun-Li,2gTYVoQCUh0QNUaFix01ld,Nicki Minaj,Chun-Li,2018-04-12,1
D Rose,1fEl5TPKRJAsuP6TqZ23hB,Lil Pump,Lil Pump,2017-10-06,15
New Rules,2ekn2ttSfGqwhhate0LSR0,Dua Lipa,Dua Lipa (Deluxe),2017-06-02,17
Wild Thoughts (feat. Rihanna & Bryson Tiller),45XhKYRRkyeqoW3teSOkCM,DJ Khaled,Grateful,2017-06-22,23
Flex Like Ouu,2hJWZvTw4QVBwC14ZNs1Ib,Lil Pump,Lil Pump,2017-10-06,15
The Other Side,2cKovq3l6OJjhVVDbVKOsr,Various Artists,The Greatest Showman (Original Motion Picture Soundtrack),2017-12-08,11
A Million Dreams,0RoA7ObU6phWpqhlC9zH4Z,Various Artists,The Greatest Showman (Original Motion Picture Soundtrack),2017-12-08,11
Crystallize,5JFkuKQsPps2ZaZzaLx63d,Lindsey Stirling,Lindsey Stirling,2012,14
When We,2HWelwHQS4EdRqIycZOc3O,Tank,SAVAGE,2017-09-29,11
