genres,followers,artists
"['indie poptimism', 'indietronica', 'modern alternative rock', 'modern rock', 'pop', 'vapor soul']",333088,Jaymes Young
"['metalcore', 'pop emo', 'pop punk', 'screamo']",1357050,Sleeping With Sirens
"['australian alternative rock', 'indietronica', 'modern rock', 'neo-psychedelic', 'psychedelic rock']",1998263,Tame Impala
"['compositional ambient', 'focus']",15443,U137
"['conscious hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",409980,Jay Rock
"['rap', 'trap music']",1519908,Lil Skies
"['pop', 'post-teen pop']",17138086,Bruno Mars
"['dirty south rap', 'gangster rap', 'hip hop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",1619633,Wale
"['folk-pop', 'indie folk', 'neo mellow']",755080,Angus & Julia Stone
"['broadway', 'hollywood']",193824,Original Broadway Cast of Hamilton
"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']",279789,Francesca Battistelli
"['rap', 'trap music', 'underground hip hop', 'vapor trap']",212128,SahBabii
"['dance pop', 'deep pop r&b', 'dirty south rap', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",942840,Lloyd
"['ambient', 'healing', 'meditation', 'new age', 'sleep']",22918,Liquid
"['dance pop', 'pop', 'post-teen pop']",19093437,Ariana Grande
"['contemporary country', 'country', 'country road']",2534561,Jason Aldean
"['hip hop', 'pop rap', 'rap', 'trap music']",779332,Lil Baby
"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']",13491618,Calvin Harris
"['dance pop', 'pop', 'post-teen pop', 'viral pop']",553929,Ruth B.
"['canadian country', 'contemporary country', 'country', 'country road', 'modern country rock']",54146,High Valley
['gospel'],182050,Yolanda Adams
"['lift kit', 'redneck']",17119,Riley Green
"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'vapor trap']",457291,BlocBoy JB
"['hip hop', 'pop rap', 'rap']",1247216,Machine Gun Kelly
"['contemporary country', 'country road', 'lift kit', 'modern country rock']",54589,A Thousand Horses
"['dance pop', 'electropop', 'pop', 'post-teen pop']",681746,Lauv
"['bachata', 'dance pop', 'latin', 'latin hip hop', 'latin pop', 'pop', 'tropical']",3013884,Prince Royce
"['funk', 'motown', 'quiet storm', 'soul']",3048548,Stevie Wonder
"['dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'swedish electropop', 'swedish pop', 'swedish synthpop', 'tropical house']",1647803,Tove Lo
"['dance pop', 'electropop', 'pop', 'pop rap', 'post-teen pop']",3918828,Kesha
"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'world worship', 'worship']",389512,for KING & COUNTRY
"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",5406721,Jennifer Lopez
"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'worship']",664791,MercyMe
"['adult standards', 'christmas', 'dixieland', 'jazz trumpet', 'new orleans jazz', 'swing', 'vocal jazz']",1557646,Louis Armstrong
"['contemporary country', 'country', 'country road', 'modern country rock']",337433,Joe Nichols
"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",1557649,A$AP Ferg
"['regional mexican', 'regional mexican pop']",572642,Cornelio Vega y su Dinastia
"['deep cumbia sonidera', 'duranguense']",28126,Los Player's de Tuzantla
"['dance pop', 'deep tropical house', 'edm', 'electropop', 'indie poptimism', 'pop', 'tropical house']",165693,A R I Z O N A
"['pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",311350,Mustard
"['contemporary country', 'country road']",946828,Kane Brown
"['nu metal', 'pop rap', 'rap metal', 'rap rock']",300184,Fort Minor
"['chillwave', 'ninja']",799341,ODESZA
[],355,DJ FabTime
"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock', 'world worship', 'worship']",313017,Tenth Avenue North
"['boy band', 'dance pop', 'pop', 'post-teen pop', 'tropical house', 'viral pop']",2169150,The Vamps
"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'tropical house']",2677954,Steve Aoki
"['contemporary country', 'country', 'country dawn', 'country road', 'modern country rock']",804158,The Band Perry
"['adult standards', 'brill building pop', 'bubblegum pop', 'christmas', 'folk', 'folk rock', 'lounge', 'mellow gold', 'nashville sound', 'soft rock', 'traditional country']",130052,Glen Campbell
"['canadian pop', 'pop', 'rap']",12680149,The Weeknd
"['conscious hip hop', 'hip hop', 'pop rap', 'rap', 'west coast rap']",10891831,Kendrick Lamar
"['contemporary country', 'country', 'country road', 'modern country rock']",2123298,Thomas Rhett
"['gauze pop', 'indietronica', 'modern alternative rock', 'modern rock', 'shiver pop']",790981,Glass Animals
"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",1301086,Brantley Gilbert
"['latin', 'latin hip hop', 'latin pop', 'pop', 'reggaeton', 'tropical']",2969801,Yandel
"['modern rock', 'pop']",492455,AJR
"['dance pop', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']",868088,Missy Elliott
"['ccm', 'christian alternative rock', 'christian hip hop', 'christian music', 'christian rock', 'worship']",585835,TobyMac
"['modern rock', 'neo-psychedelic']",793024,Portugal. The Man
"['gangster rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",2070316,ScHoolboy Q
"['pop punk', 'rock']",9943501,Twenty One Pilots
"['contemporary country', 'country', 'country road', 'modern country rock']",1183945,Zac Brown Band
"['alternative rock', 'chamber pop', 'folk-pop', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'neo-psychedelic', 'pop rock', 'portland indie', 'stomp and holler']",353265,The Decemberists
"['dance pop', 'hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",1300143,Robin Thicke
"['dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",1069256,Tech N9ne
"['dance pop', 'hip pop', 'r&b', 'urban contemporary']",165526,Paula DeAnda
"['dance pop', 'pop', 'pop rap']",2866578,The Black Eyed Peas
"['pop', 'post-teen pop']",900026,Grace VanderWaal
"['dance pop', 'edm', 'pop rap']",2852807,LMFAO
"['dance pop', 'latin', 'latin pop', 'mexican pop', 'tropical']",3918767,Ricky Martin
"['latin', 'latin hip hop', 'pop', 'reggaeton', 'tropical']",9021710,Daddy Yankee
[],91768,Arsenal Efectivo
"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",3997379,Rae Sremmurd
"['dance pop', 'deep pop r&b', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']",1911348,Jhene Aiko
"['cubaton', 'latin', 'tropical']",100115,Jacob Forever
"['contemporary country', 'country', 'country road']",3231035,Luke Bryan
"['hip hop', 'pop', 'pop rap', 'rap']",395597,N.E.R.D
"['boy band', 'latin', 'latin pop', 'pop', 'reggaeton', 'tropical']",4487054,CNCO
"['dance pop', 'pop', 'post-teen pop']",3276986,Harry Styles
"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",2539024,Fergie
"['ccm', 'christian alternative rock', 'christian music', 'christian rock', 'world worship', 'worship']",872176,Chris Tomlin
[],9597,Ro Ransom
"['ccm', 'christian music', 'world worship', 'worship']",468174,Elevation Worship
"['anthem worship', 'ccm', 'christian music', 'deep ccm', 'world worship', 'worship']",526684,Jesus Culture
"['anthem worship', 'deep ccm', 'world worship', 'worship']",57211,Bryan & Katie Torwalt
"['brostep', 'complextro', 'edm', 'electro house', 'electronic trap', 'filthstep', 'moombahton', 'zapstep']",61616,Barely Alive
"['dance rock', 'indie rock', 'madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']",1558667,The Smiths
"['dance pop', 'pop', 'post-teen pop']",2459139,Bebe Rexha
"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",12123963,Shawn Mendes
"['alternative rock', 'grunge', 'permanent wave', 'post-grunge', 'rock']",7382849,Nirvana
"['candy pop', 'emo', 'pixie', 'pop emo', 'pop punk']",3525891,Paramore
"['dance pop', 'pop']",817845,LANY
"['ranchera', 'regional mexican']",1206727,Christian Nodal
"['alternative rock', 'blues-rock', 'garage rock', 'indie rock', 'modern rock', 'punk blues', 'rock']",2564957,The Black Keys
"['pop', 'pop rap', 'rap']",3490903,Travis Scott
"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'vapor trap']",278509,Huncho Jack
"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'wrestling']",842144,Theory of a Deadman
"['latin', 'pop', 'reggaeton']",2817993,Karol G
"['contemporary country', 'country', 'country road', 'modern country rock']",375835,Scotty McCreery
['cubaton'],68146,El Chacal
['cubaton'],16130,Baby Lores
"['banda', 'cumbia', 'duranguense', 'grupera', 'norteno', 'regional mexican']",132861,Conjunto Atardecer
"['latin', 'merengue', 'tropical']",271471,Elvis Crespo
"['hawaiian', 'jawaiian', 'slack-key guitar']",5606,Kuana Torres Kahele
['hawaiian'],1940,Na Palapalai
"['dance pop', 'edm', 'pop', 'pop rap']",724129,Mike Posner
"['country road', 'outlaw country', 'red dirt', 'texas country']",123641,Randy Rogers Band
"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'tropical']",1024535,Baby Rasta & Gringo
"['modern alternative rock', 'modern rock', 'post-grunge', 'rock']",243107,Highly Suspect
"['colombian pop', 'dance pop', 'latin', 'latin pop', 'mexican pop', 'pop']",13759914,Shakira
"['banda', 'cumbia', 'duranguense', 'grupera', 'norteno', 'regional mexican']",226539,Los Rehenes
"['dance pop', 'electropop', 'pop']",1870017,Billie Eilish
"['indie pop', 'indie poptimism', 'indietronica', 'la indie', 'metropopolis', 'modern alternative rock', 'modern rock']",144985,Smallpools
"['rap', 'trap music', 'vapor trap']",160077,Nebu Kiniza
"['hip hop', 'pop', 'rap', 'underground hip hop']",522432,Jaden Smith
"['dance pop', 'pop', 'post-teen pop', 'r&b']",15881066,Beyoncé
"['ccm', 'idol']",132230,Danny Gokey
"['dance pop', 'edm', 'pop', 'tropical house']",1291074,Jonas Blue
"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter', 'soft rock']",1730139,Bruce Springsteen
"['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'christian rock']",114988,Jordan Feliz
"['underground hip hop', 'vapor trap']",1491740,Lil Xan
"['dance pop', 'indie r&b', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']",1914603,Miguel
"['folk-pop', 'irish singer-songwriter', 'pop']",2547703,Hozier
"['hip hop', 'indie r&b', 'pop rap', 'rap', 'underground hip hop']",384244,GoldLink
"['glam rock', 'mellow gold', 'piano rock', 'rock', 'soft rock']",1929140,Elton John
"['adult standards', 'brill building pop', 'calypso', 'christmas', 'lounge']",73544,Harry Belafonte
"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",3058965,The Notorious B.I.G.
"['latin christian', 'world worship']",184164,Hillsong en Español
"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",283730,Big L
['comic'],117253,Ylvis
"['cowpunk', 'neo mellow', 'pop rock', 'post-grunge']",29789,Blessid Union Of Souls
"['pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'vapor trap']",198327,Quality Control
"['blues-rock', 'classic rock', 'motown', 'southern rock']",48316,Rare Earth
"['deep funk', 'funk', 'soul']",230845,Charles Bradley
"['indie pop rap', 'pop', 'pop rap']",578192,Hoodie Allen
"['boy band', 'hip hop', 'indie r&b', 'rap']",569628,BROCKHAMPTON
['contemporary country'],981669,Chris Stapleton
"['dirty south rap', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",2210177,Gucci Mane
[],8235,Gucci Mane & Waka Flocka Flame
"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']",9603414,The Beatles
['dwn trap'],4705,Don Mega
"['metropopolis', 'modern rock', 'pop rap']",3125359,fun.
"['album rock', 'art rock', 'classic rock', 'folk rock', 'glam rock', 'mellow gold', 'piano rock', 'progressive rock', 'rock', 'soft rock']",890601,Supertramp
"['big room', 'deep big room', 'dutch house', 'edm', 'electro house', 'progressive electro house', 'progressive house', 'sky room']",85366,Sick Individuals
